sourcesourceDB,sourceCollection,sourceFieldLocation,sourceDataType,destinationTable,destinationField,destinationDataType,function,meta
accepted-data,address,acceptedDateTime.d_date,string,address,acceptedDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,address,claimElement.contractId,string,address,claimElement_contractId,string,,UUID:uk.gov.dwp.universe.claim.ContractId PII:UNKNOWN
accepted-data,address,claimElement.declaredDateTime,string,address,claimElement_declaredDateTime,string,, PII:UNKNOWN
accepted-data,address,claimElement.effectiveDate.hasDate,boolean,address,claimElement_effectiveDate_hasDate,string,, PII:UNKNOWN
accepted-data,address,claimElement.effectiveDate.knownDate,string,address,claimElement_effectiveDate_knownDate,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,address,claimElement.paymentEffectiveDate.hasDate,boolean,address,claimElement_paymentEffectiveDate_hasDate,string,, PII:UNKNOWN
accepted-data,address,claimElement.paymentEffectiveDate.knownDate,string,address,claimElement_paymentEffectiveDate_knownDate,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,address,claimElement.declaredDateTime.d_date,string,address,claimElement_declaredDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,address,claimElement.effectiveDate.type,string,address,claimElement_effectiveDate_type,string,,JsonTypeName : SPECIFIC_EFFECTIVE_DATE PII:UNKNOWN
accepted-data,address,claimElement.effectiveDate.date,string,address,claimElement_effectiveDate_date,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,address,claimElement.paymentEffectiveDate.type,string,address,claimElement_paymentEffectiveDate_type,string,,JsonTypeName : SPECIFIC_EFFECTIVE_DATE PII:UNKNOWN
accepted-data,address,claimElement.paymentEffectiveDate.date,string,address,claimElement_paymentEffectiveDate_date,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,address,claimElement.postcode,string,address,claimElement_postcode,string,, PII:UNKNOWN
accepted-data,address,claimElement.region,string,address,claimElement_region,string,, PII:UNKNOWN
accepted-data,address,claimElement.type,string,address,claimElement_type,string,,JsonTypeName : address PII:UNKNOWN
