sourcesourceDB,sourceCollection,sourceFieldLocation,sourceDataType,destinationTable,destinationField,destinationDataType,function,meta
accepted-data,earningsData,acceptedDateTime.d_date,string,earningsData_CALCULATED_EARNINGS,acceptedDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,earningsData,claimElement.contractId,string,earningsData_CALCULATED_EARNINGS,claimElement_contractId,string,, PII:UNKNOWN
accepted-data,earningsData,claimElement.declaredDateTime,string,earningsData_CALCULATED_EARNINGS,claimElement_declaredDateTime,string,, PII:UNKNOWN
accepted-data,earningsData,claimElement.effectiveDate.hasDate,boolean,earningsData_CALCULATED_EARNINGS,claimElement_effectiveDate_hasDate,string,, PII:UNKNOWN
accepted-data,earningsData,claimElement.effectiveDate.knownDate,string,earningsData_CALCULATED_EARNINGS,claimElement_effectiveDate_knownDate,string,, PII:UNKNOWN
accepted-data,earningsData,claimElement.paymentEffectiveDate.hasDate,boolean,earningsData_CALCULATED_EARNINGS,claimElement_paymentEffectiveDate_hasDate,string,, PII:UNKNOWN
accepted-data,earningsData,claimElement.paymentEffectiveDate.knownDate,string,earningsData_CALCULATED_EARNINGS,claimElement_paymentEffectiveDate_knownDate,string,, PII:UNKNOWN
accepted-data,earningsData,createdDateTime.d_date,string,earningsData_CALCULATED_EARNINGS,createdDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,earningsData,declarationId,string,earningsData_CALCULATED_EARNINGS,declarationId,string,,UUID:uk.gov.dwp.universe.declaration.DeclarationId PII:UNKNOWN
accepted-data,earningsData,invalidated.dateTime.d_date,string,earningsData_CALCULATED_EARNINGS,invalidated_dateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,earningsData,invalidated.reason,string,earningsData_CALCULATED_EARNINGS,invalidated_reason,string,, PII:UNKNOWN
accepted-data,earningsData,_id.d_oid,string,earningsData_CALCULATED_EARNINGS,id,string,,
accepted-data,earningsData,acceptedDateTime.d_date,string,earningsData_RTE_FEED_TO_DO,acceptedDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,earningsData,claimElement.contractId,string,earningsData_RTE_FEED_TO_DO,claimElement_contractId,string,, PII:UNKNOWN
accepted-data,earningsData,claimElement.declaredDateTime,string,earningsData_RTE_FEED_TO_DO,claimElement_declaredDateTime,string,, PII:UNKNOWN
accepted-data,earningsData,claimElement.effectiveDate.hasDate,boolean,earningsData_RTE_FEED_TO_DO,claimElement_effectiveDate_hasDate,string,, PII:UNKNOWN
accepted-data,earningsData,claimElement.effectiveDate.knownDate,string,earningsData_RTE_FEED_TO_DO,claimElement_effectiveDate_knownDate,string,, PII:UNKNOWN
accepted-data,earningsData,claimElement.paymentEffectiveDate.hasDate,boolean,earningsData_RTE_FEED_TO_DO,claimElement_paymentEffectiveDate_hasDate,string,, PII:UNKNOWN
accepted-data,earningsData,claimElement.paymentEffectiveDate.knownDate,string,earningsData_RTE_FEED_TO_DO,claimElement_paymentEffectiveDate_knownDate,string,, PII:UNKNOWN
accepted-data,earningsData,createdDateTime.d_date,string,earningsData_RTE_FEED_TO_DO,createdDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
