sourcesourceDB,sourceCollection,sourceFieldLocation,sourceDataType,destinationTable,destinationField,destinationDataType,function,meta
agent-core,agentToDo,allocatedToAgentId,string,agent_todo,allocatedToAgentId,string,,UUID:uk.gov.dwp.universe.identification.ids.AgentId PII:NO
agent-core,agentToDo,alpForm.alpFormType,string,agent_todo,alpForm_alpFormType,string,, PII:NO
agent-core,agentToDo,alpForm.attachmentSummary.fileName,string,agent_todo,alpForm_attachmentSummary_fileName,string,, PII:YES
agent-core,agentToDo,alpForm.attachmentSummary.fileSize,string,agent_todo,alpForm_attachmentSummary_fileSize,string,, PII:NO
agent-core,agentToDo,alpForm.attachmentSummary.id,string,agent_todo,alpForm_attachmentSummary_id,string,,UUID:uk.gov.dwp.universe.attachment.AttachmentId PII:YES
agent-core,agentToDo,alpForm.attachmentSummary.revision,string,agent_todo,alpForm_attachmentSummary_revision,string,, PII:NO
agent-core,agentToDo,alpForm.attachmentSummary.updatedAt.d_date,string,agent_todo,alpForm_attachmentSummary_updatedAt_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:NO
agent-core,agentToDo,alpForm.attachmentSummary.updatedBy,string,agent_todo,alpForm_attachmentSummary_updatedBy,string,, PII:NO
agent-core,agentToDo,cancelled,string,agent_todo,cancelled,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:NO
agent-core,agentToDo,completedDateTime.d_date,string,agent_todo,completedDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:NO
agent-core,agentToDo,completingAgentId,string,agent_todo,completingAgentId,string,,UUID:uk.gov.dwp.universe.identification.ids.AgentId PII:NO
agent-core,agentToDo,completingAgentName,string,agent_todo,completingAgentName,string,, PII:YES
agent-core,agentToDo,contractId,string,agent_todo,contractId,string,,UUID:uk.gov.dwp.universe.claim.ContractId PII:NO
agent-core,agentToDo,createdByAgentId,string,agent_todo,createdByAgentId,string,,UUID:uk.gov.dwp.universe.identification.ids.AgentId PII:NO
agent-core,agentToDo,createdByAgentName,string,agent_todo,createdByAgentName,string,, PII:NO
agent-core,agentToDo,createdDateTime.d_date,string,agent_todo,createdDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:NO
agent-core,agentToDo,deadlineDate,string,agent_todo,deadlineDate,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:NO
agent-core,agentToDo,deadlineTime,string,agent_todo,deadlineTime,string,,Time(HHmm):org.joda.time.LocalTime PII:NO
agent-core,agentToDo,deliveryUnits[*],string,agent_todo,deliveryUnits,string,,UUID:uk.gov.dwp.universe.organisation.DeliveryUnitId PII:NO
agent-core,agentToDo,description,string,agent_todo,description,string,, PII:YES
agent-core,agentToDo,notes[*].createdBy,string,agent_todo,notes_createdBy,string,, PII:NO
agent-core,agentToDo,notes[*].createdByName,string,agent_todo,notes_createdByName,string,, PII:NO
agent-core,agentToDo,notes[*].dateCreated.d_date,string,agent_todo,notes_dateCreated_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:NO
agent-core,agentToDo,notes[*].deleted,boolean,agent_todo,notes_deleted,string,, PII:NO
agent-core,agentToDo,notes[*].text,string,agent_todo,notes_text,string,, PII:YES
agent-core,agentToDo,relatedToClaimantId,string,agent_todo,relatedToClaimantId,string,,UUID:uk.gov.dwp.universe.identification.ids.ClaimantId PII:NO
agent-core,agentToDo,status,string,agent_todo,status,string,, PII:NO
