sourcesourceDB,sourceCollection,sourceFieldLocation,sourceDataType,destinationTable,destinationField,destinationDataType,function,meta
villani,interactions,_id,string,contacts,id,string,,An explanation about the purpose of this instance..
villani,interactions,_t,string,interactions,_t,string,,An explanation about the purpose of this instance.
villani,interactions,ContactId.binary,string,interactions,ContactId_binary,string,,An explanation about the purpose of this instance.
villani,interactions,ContactId.type,string,interactions,ContactId_type,string,,An explanation about the purpose of this instance.
villani,interactions,StartDateTime.date,string,interactions,StartDateTime_date,string,,An explanation about the purpose of this instance.
villani,interactions,EndDateTime.date,string,interactions,EndDateTime_date,string,,An explanation about the purpose of this instance.
villani,interactions,SaveDateTime.date,string,interactions,SaveDateTime_date,string,,An explanation about the purpose of this instance.
villani,interactions,ChannelId.binary,string,interactions,ChannelId_binary,string,,An explanation about the purpose of this instance.
villani,interactions,ChannelId.type,string,interactions,ChannelId_type,string,,An explanation about the purpose of this instance.
villani,interactions,Browser.BrowserVersion,string,interactions,Browser_BrowserVersion,string,,An explanation about the purpose of this instance.
villani,interactions,Browser.BrowserMajorName,string,interactions,Browser_BrowserMajorName,string,,An explanation about the purpose of this instance.
villani,interactions,Browser.BrowserMinorName,string,interactions,Browser_BrowserMinorName,string,,An explanation about the purpose of this instance.
villani,interactions,Screen.ScreenHeight,string,interactions,Screen_ScreenHeight,string,,An explanation about the purpose of this instance.
villani,interactions,Screen.ScreenWidth,string,interactions,Screen_ScreenWidth,string,,An explanation about the purpose of this instance.
villani,interactions,ContactVisitIndex,string,interactions,ContactVisitIndex,string,,An explanation about the purpose of this instance.
villani,interactions,DeviceId.binary,string,interactions,DeviceId_binary,string,,An explanation about the purpose of this instance.
villani,interactions,DeviceId.type,string,interactions,DeviceId_type,string,,An explanation about the purpose of this instance.
villani,interactions,GeoData.AreaCode,string,interactions,GeoData_AreaCode,string,,An explanation about the purpose of this instance.
villani,interactions,GeoData.BusinessName,string,interactions,GeoData_BusinessName,string,,An explanation about the purpose of this instance.
villani,interactions,GeoData.City,string,interactions,GeoData_City,string,,An explanation about the purpose of this instance.
villani,interactions,GeoData.Country,string,interactions,GeoData_Country,string,,An explanation about the purpose of this instance.
villani,interactions,GeoData.Dns,string,interactions,GeoData_Dns,string,,An explanation about the purpose of this instance.
villani,interactions,GeoData.Isp,string,interactions,GeoData_Isp,string,,An explanation about the purpose of this instance.
villani,interactions,GeoData.MetroCode,string,interactions,GeoData_MetroCode,string,,An explanation about the purpose of this instance.
villani,interactions,GeoData.PostalCode,string,interactions,GeoData_PostalCode,string,,An explanation about the purpose of this instance.
villani,interactions,GeoData.Region,string,interactions,GeoData_Region,string,,An explanation about the purpose of this instance.
villani,interactions,GeoData.Url,string,interactions,GeoData_Url,string,,An explanation about the purpose of this instance.
villani,interactions,Ip.binary,string,interactions,Ip_binary,string,,An explanation about the purpose of this instance.
villani,interactions,Ip.type,string,interactions,Ip_type,string,,An explanation about the purpose of this instance.
villani,interactions,Language,string,interactions,Language,string,,An explanation about the purpose of this instance.
villani,interactions,LocationId.binary,string,interactions,LocationId_binary,string,,An explanation about the purpose of this instance.
villani,interactions,LocationId.type,string,interactions,LocationId_type,string,,An explanation about the purpose of this instance.
villani,interactions,OperatingSystem._id,string,interactions,OperatingSystem__id,string,,An explanation about the purpose of this instance.
villani,interactions,Pages[*].DateTime.date,string,interactions,Pages_DateTime_date,string,,An explanation about the purpose of this instance.
villani,interactions,Pages[*].Duration,string,interactions,Pages_Duration,string,,An explanation about the purpose of this instance.
villani,interactions,Pages[*].Item._id.binary,string,interactions,Pages_Item__id_binary,string,,An explanation about the purpose of this instance.
villani,interactions,Pages[*].Item._id.type,string,interactions,Pages_Item__id_type,string,,An explanation about the purpose of this instance.
villani,interactions,Pages[*].Item.Language,string,interactions,Pages_Item_Language,string,,An explanation about the purpose of this instance.
villani,interactions,Pages[*].Item.Version,string,interactions,Pages_Item_Version,string,,An explanation about the purpose of this instance.
villani,interactions,Pages[*].SitecoreDevice._id.binary,string,interactions,Pages_SitecoreDevice__id_binary,string,,An explanation about the purpose of this instance.
villani,interactions,Pages[*].SitecoreDevice._id.type,string,interactions,Pages_SitecoreDevice__id_type,string,,An explanation about the purpose of this instance.
villani,interactions,Pages[*].SitecoreDevice.Name,string,interactions,Pages_SitecoreDevice_Name,string,,An explanation about the purpose of this instance.
villani,interactions,Pages[*].MvTest.ValueAtExposure,string,interactions,Pages_MvTest_ValueAtExposure,string,,An explanation about the purpose of this instance.
villani,interactions,Pages[*].Url.Path,string,interactions,Pages_Url_Path,string,,An explanation about the purpose of this instance.
villani,interactions,Pages[*].VisitPageIndex,string,interactions,Pages_VisitPageIndex,string,,An explanation about the purpose of this instance.
villani,interactions,Profiles.Legal Persona.Count,string,interactions,Profiles_Legal Persona_Count,string,,An explanation about the purpose of this instance.
villani,interactions,Profiles.Legal Persona.Total,string,interactions,Profiles_Legal Persona_Total,string,,An explanation about the purpose of this instance.
villani,interactions,Profiles.Legal Persona.ProfileName,string,interactions,Profiles_Legal Persona_ProfileName,string,,An explanation about the purpose of this instance.
